city,places ,peak,moderate,off
leh,"['Leh Palace', 'Shanti Stupa', 'Gurudwara Pathar Sahib', 'Spituk Gompa', 'Stok Palace Museum', 'Alchi Monastery Near Leh', 'Magnetic Hill']",Mar-Jun,Sep-Feb,Jul-Aug
baroda,"['Sayaji Baug', 'EME Temple', 'Ajwa World', 'Laxmi Vilas Palace', 'Kirti Mandir', 'Sursagar Lake', 'Baroda Prints']",[],[],[]
rishikesh,"['Laxman Jhula', 'Rajaji National Park', 'Triveni Ghat', 'Neelkanth Mahadev Temple', 'Parmarth Niketan', 'Vashishtha Guha Temple', 'The Beatles Ashram', 'Tera Manzil', 'Little Buddha Cafe', 'Kaudiyala', 'Ram Jhula', 'Neergarh Waterfall', 'Vashistha Cave', 'Kunjapuri Devi Temple']",Oct-Feb,Mar-May,Jun-Sep
ooty,"['Botanical Garden', 'Pykara Waterfalls', 'Doddabetta Peak', 'Elk Hill Murugan Temple', 'Ooty Lake', 'Fernhills Palace', 'Tea Museum', 'Mudumalai National Park, Tamil Nadu']",Oct-Mar,Apr-May,Jun-Sep
goa,"['Aguada Fort', 'Basilica of Bom Jesus', 'Dudhsagar Waterfalls', 'Baga beach, Goa', 'Our Lady of the Immaculate Conception Church', 'Calangute Beach', 'Se Cathedral', 'Chapora Fort', 'Anjuna Flea Market', 'Anjuna Beach', 'Candolim Beach', 'Vagator Beach', 'Palolem Beach', 'Salaulim Dam', 'Morjim Beach', 'Baina Beach', 'Querim Beach', 'Majorda Beach', 'Agonda Beach', 'Varca Beach', 'Butterfly Beach', 'Netravali Bubbling Lake', 'Bhagwan Mahaveer Wildlife Sanctuary', 'Indian Naval Aviation Museum', 'Arambol Beach']",Nov-Mar,Jul-Oct,Apr-Jun
alleppey,"['Ambalapuzha Sree Krishna Temple Alleppey', 'Visit Alappuzha Lighthouse', 'Tour Krishnapuram Palace', 'Explore the Backwaters', 'Relax at the Alleppey Beach', 'Enjoy Soothing Ayurvedic Therapies', 'Visit St Marys Forane Church', 'Kuttanad, Kerala', 'Shopping Spree In Alleppey']",Nov-Feb,Mar-Apr,May-Oct
darjeeling,"['Padmaja Naidu Himalayan Zoological Park Darjeeling', 'Batasia Loop', 'Japanese Peace Pagoda', 'Himalayan Mountaineering Institute', 'Tiger Hill', 'Ghoom Monastery', 'Sandakphu, Darjeeling', 'Lepchajagat, West Bengal', 'Dhirdham Temple']",Apr-Jun,Jul-Nov,Oct-Mar
shimla,"['Christ Church', 'Viceregal Lodge', 'Kalibari Temple', 'The Ridge of Shimla', 'Green Valley', 'Jhakoo Hill', ""Johnnie's Wax Museum"", 'Annandale']",Mar-Jun,Oct-Feb,Jul-Sep
auli,"['Artificial Lake Auli', 'Kwani Bugyal Auli', 'Experience Skiing amidst Snow-Clad Mountains', 'Visit Nanda Devi National Park', 'Trek to Gurso Bugyal', 'Seek Blessings at Narsimha Temple', 'Experience the Ropeway Cable Car Ride']",Oct-Feb,Mar-Jun,Jul-Nov
munnar,"['Echo Point Near Munnar', 'Eravikulam National Park', 'Pothamedu View Point', 'Photo Point', 'Attukal Waterfalls', 'Chinnakanal Waterfalls', 'Kundala Dam Lake', 'Lockheart Gap', 'Trek to the Anamudi Peak', 'Chandys Windy Woods', 'Avondale Cottage', 'Talayar Bungalow', 'Dream Catcher Plantation', 'Munnar Discovery Tent Stay', 'Boating in Mattupetty Dam', 'Visit the Tea Museum', 'Go for Rock Climbing', 'Elephant Safari at Carmelagiri Park', 'Relishing Kerala Sadhya', 'Eravikulam National Park', 'Trek to the Anamudi Peak', 'Tea Tales', 'Relishing Kerala Sadhya', 'Hotel Gurubhavan', 'Hotel Sri Nivas Restaurant', 'Copper Castle', 'Vattavada', 'Kanthalloor', 'Seetha Devi Lake', 'Marayur', 'Pampadum Shola National Park', 'Kolukkumalai Tea Estate', 'Boating in Mattupetty Dam', 'Go for Rock Climbing', 'Elephant Safari at Carmelagiri Park', 'Munnar Discovery Tent Stay']",Sep-Mar,Apr-May,Jun-Aug
udaipur,"['City Palace, Udaipur', 'Saheliyon Ki Bari', 'Fateh Sagar Lake', 'Lake Pichola', 'Jag Mandir Palace', 'Crystal Gallery Udaipur', 'Udaipur City Palace Museum', 'Sajjangarh Wildlife Sanctuary', 'Moti Magri', 'Vintage Car Museum Udaipur', 'Gulab Bagh Zoo', 'Jaisamand Lake', 'Mansapurna Karni Ropeway', 'Ambrai Ghat']",Oct-Mar,Jul-Sep,Apr-Jun
varkala,"['Varkala Beach', 'Thiruvambady Beach']",Oct-Mar,Apr-May,Jun-Sep
kutch,"['Kutch Museum', 'Vijaya Vilas Palace', 'Aina Mahal', 'Bhadreshwar Jain Temple', 'Kalo Dungar', 'Great Rann Of Kutch', 'Lakhpat', 'Kutch Desert Wildlife Sanctuary', 'Craft Villages']",Nov-Feb,Mar-Apr,May-Oct
pushkar,"['Brahma Temple', 'Apteshwar Temple', 'Savitri Temple', 'Pushkar Lake Near Pushkar', 'Rangji Temple', 'Varaha Temple', 'Merta City']",Oct-Mar,Apr-Jun,Jul-Sep
dalhousie,"['Panchpula', 'Dainkund Peak Near Dalhousie', 'Kalatop Wildlife Sanctuary', 'Ganji Pahari', 'Chamera Lake', 'Khajjiar', 'Rock Garden Dalhousie', 'Sach Pass', 'Subhash Baoli', 'Bakrota Hills', 'St Patricks Church', 'Indo Tibetan Market', 'Satdhara Falls', 'St Johns Church Dalhousie', 'St Francis Church']",Apr-Jun,Jul-Nov,Oct-Mar
gokarna,"['Om Beach', 'Paradise Beach', 'Half Moon Beach', 'Gokarna Beach', 'Kudle Beach']",Oct-Mar,Aug-Sep,Apr-Jul
agra,"['Taj Mahal', 'Agra Fort', ""Akbar's Tomb"", 'Moti Masjid', ""Itmad-ud-Daulah's Tomb"", 'Mehtab Bagh', 'Fatehpur Sikri']",Oct-Mar,Jul-Sep,Apr-Jun
kochi,"['Hill Palace Museum', 'The Mattancherry Palace', 'Santa Cruz Basilica', 'Paradesi Synagogue', 'Willingdon Island', 'Vypeen Island', 'Princess Street', 'Muziris, Kerala']",Oct-Mar,Apr-Jun,Jul-Sep
amritsar,"['Golden Temple, Amritsar', 'Gobindgarh Fort', 'Jallianwala Bagh', 'Sri Durgiana Temple', 'Partition Museum', 'Hall Bazaar', 'Ram Tirth Temple', 'Katra Jaimal Singh Bazaar']",Oct-Mar,Jul-Sep,Apr-Jun
lakshwadeep,"['Andretti', 'Agatti', 'Minicoy', 'Kadmath', 'Kalpeni', 'Bangaram', 'Thinnakara Island Lakshadweep', 'Amini Island Lakshadweep', 'Kavaratti']",[],[],[]
jaipur,"['Amer Fort', 'Hawa Mahal', 'Nahargarh Fort', 'City Palace', 'Birla Mandir', 'Jantar Mantar Near Jaipur', 'Jal Mahal']",Oct-Mar,Apr-Jun,Jul-Sep
srinagar,"['Mughal Gardens', 'Nishat Bagh', 'Shalimar Bagh', 'Achabal Bagh', 'Chashma Shahi', 'Pari Mahal', 'Verinag', 'Dal Lake', 'Shankaracharya Hill Srinagar', 'Nigeen Lake', 'Wular Lake', 'Hari Parbat', 'Shri Pratap Singh Museum', 'Lal Chowk and Polo View', 'Doodhpathri, Kashmir', 'Hazratbal Shrine', 'Chashme Shahi', 'Shalimar Bagh', 'Shikara Ride in Srinagar']",Mar-Jun,Jul-Sep,Oct-Feb
andaman,"['Cellular Jail', 'Radhanagar Beach', 'Elephant Beach', 'Ross Island', 'Kalapathar Beach', 'Mount Harriet National Park Near Havelock', ""Neil's Cove"", 'Barren Island']",[],[],[]
manikaran,"['Seek Blessings at Gurudwara Shri Manikaran Sahib', 'Manikaran Hot Springs', 'Shop at the Kasol Market', 'Walk by the Parvati River', 'Camp in the Parvati Valley', 'Trek from Malana to Waichin Valley', 'Star Gazing in Kasol', 'Pin Parvati Pass Trek', 'Buddha Place', 'Tosh', 'Stone Garden Cafe', 'Barshaini', 'Sar Pass Trek', 'Stargazing at Kasol', 'Magic Valley', 'Fishing Activity in Naggar']",[],[],[]
gangtok,"['Tsomgo Lake', 'Rumtek Monastery', 'Nathu La Pass', 'Do-Drul Chorten', 'Enchey Monastery', 'Namgyal Institute of Tibetology', 'Seven Sisters Waterfall', 'Ganesh Tok Temple Gangtok Sikkim', 'Khangchendzonga National Park, Sikkim', 'Ravangla, Sikkim', 'Pelling, Sikkim']",Mar-Jun,Oct-Feb,Jul-Sep
jodhpur,"['Mehrangarh Fort', 'Umaid Bhawan Palace', 'Mandore Garden', 'Jaswant Thada', 'Clock Tower Market', 'Rao Jodha Desert Rock Park', 'Toorji Ka Jhalra', 'Camel Safari', 'Phalodi Jodhpur', 'Khejarla Fort', 'Balsamand Lake', 'Sardar Market', 'Bishnoi Village Tour', 'Sardar Government Museum', 'Fort Chanwa']",Oct-Mar,Apr-Jun,Jul-Sep
pondicherry,"['Sri Aurobindo Ashram', 'Basilica Of The Sacred Heart Of Jesus Pondicherry', 'Promenade Beach', 'Paradise Beach, Pondicherry', 'Chunnambar Boat House', 'Tranquebar, Tamil Nadu', 'Auroville', 'Serenity Beach']",Oct-Mar,Apr-Jun,Jul-Sep
mussoorie,"['Kempty Falls', 'George Everests House', 'Lal Tibba', 'Clouds End Mussoorie', 'Benog Wildlife Sanctuary', 'Camels Back Road', 'Gun Hill', 'Landour', 'Mussoorie Lake', 'Mall Road']",Mar-Jun,Oct-Feb,Jul-Sep
delhi,"['Sri Gurudwara Bangla Sahib', 'Akshardham Temple', 'India Gate', 'Lotus Temple', 'Jantar Mantar In Delhi', ""Humayun's Tomb"", 'Jama Masjid in Delhi', 'Red Fort (Lal Quila)', 'Qutub Minar, Delhi', 'Madame Tussauds Museum Delhi', 'Connaught Place', 'Khan Market', 'Lodhi Garden', 'Rashtrapati Bhawan', 'National Zoological Park', 'Swatantrata Sangrama Sangrahalaya Delhi', 'Swatantrata Senani Museum Delhi', 'Teen Murti Bhavan & Nehru Planetarium', 'Musuem of Illusion', 'National Railway Museum', 'Champa Gali']",Oct-Mar,Apr-Jun,Jul-Sep
maldives,"['Underwater Restaurant', 'Sun Island', 'Huvahendhoo Island', 'Maldives Glowing Beach', 'Fihalhohi Island', 'Maafushi', 'Artificial Beach', 'Maamigili']",[],[],[]
gulmarg,"['Gulmarg Biosphere Reserve', 'Gulmarg Gondola Ride', 'Alpather Lake', 'Gulmarg Golf Course', ""St. Mary's Church"", 'Strawberry Valley', 'Shrine of Baba Reshi', 'Khilanmarg', 'Buta Pathri', 'Durung Waterfall', 'Seven Springs']",Dec-Mar,Apr-Jun,Jul-Nov
havelock,"['Cellular Jail', 'Radhanagar Beach', 'Elephant Beach', 'Ross Island', 'Kalapathar Beach', 'Mount Harriet National Park Near Havelock', ""Neil's Cove"", 'Barren Island']",[],[],[]
wayanad,"['Edakkal Caves', 'Thirunelli Temple', 'Chembra Peak', 'Muthanga Wildlife Sanctuary', 'Kuruva Island', 'Pookode Lake', 'Banasura Sagar Dam']",Nov-Feb,Mar-May,Jun-Sep
vrindavan,"['Radha Raman Temple', 'Keshi Ghat', 'Prem Mandir Near Vrindavan', 'Banke Bihari Mandir in Vrindavan', 'Nidhivan']",Oct-Mar,Apr-Jun,Jul-Sep
bhubaneswar,"['Nandankanan Zoological Park', 'Lingaraj Temple', 'Odisha State Museum', 'Museum of Tribal Arts & Artefacts', 'Kedargouri Temple', 'Rajarani Temple', 'Ekamra Kanan', 'Chilika, Odisha']",[],[],[]
manali,"['Manikaran Sahib', 'Hidimba Devi Temple', 'Rohtang Pass', 'Manu Temple', 'Solang Valley', 'Old Manali', 'Naggar Castle Near Manali', 'Arjun Gufa', 'Sethan Valley', 'Atal Tunnel', 'Vashisht Hot Water Springs', 'Nehru Kund', 'Old Manali Snow Point', 'Himvalley Amusement & Cultural Park', 'Shoja, Himachal Pradesh', 'Jalori Jot, Himachal Pradesh', 'Jibhi, Himachal Pradesh', 'Cafe 1947']",Mar-Jun,Sep-Feb,Jul-Aug
lucknow,"['Bara Imambara', 'Chhota Imambara', 'Rumi Darwaza', 'Tomb of Saadat Ali Khan', 'Satkhanda', 'Begum Hazrat Mahal Park']",[],[],[]
alibaug,"['Varsoli Beach', 'Mandwa Beach', 'Nagaon Beach', 'Alibaug Beach']",Oct-Feb,Mar-Jun,Jul-Sep
coorg,"[""Raja's Seat"", 'Golden Temple', 'Abbey Falls, Coorg (Madikeri)', 'Irupu Falls', 'Iguthappa Temple', 'Madikeri Fort', 'Talakaveri', 'Honnamana Kere Lake', 'Mallalli Falls', 'Somwarpet', 'River Rafting in Coorg', 'Honey Valley']",Oct-Feb,Mar-May,Jun-Sep
aurangabad,"['Ellora Caves', 'Ajanta Caves', 'Bibi Ka Maqbara Aurangabad', 'Bhadra Maruti Temple', 'Valley of the Sufi Saints', 'Grishneshwar Temple Jyotirlinga, Aurangabad', 'Aurangabad Caves', 'Khuldabad Aurangabad', 'Jain Caves Ellora', 'Jama Masjid Aurangabad', 'Dargah of Pir Ismail', 'Buddhist Caves Aurangabad', 'Bani Begum Garden', 'Himayat Bagh', 'Tomb of Aurangzeb', 'Kailasa Temple', 'Salim Ali Lake', 'Siddharth Garden']",[],[],[]
mysore,"['Mysore Palace', ""St. Philomena's Cathedral"", 'Brindavan Gardens', 'Jagmohan Palace', 'Mysore Zoo', 'Mysore Sand Sculpture Museum', 'Chamundi Hills']",Oct-Feb,Mar-Jun,Jul-Sep
kovalam,"['Hawa Beach', 'Lighthouse Beach']",[],[],[]
malvan,"['Rock Garden', 'Malvan Marine Sanctuary', 'Sindhudurg Fort', 'Tarkarli Beach Near Tarkarli', 'Tsunami Island', 'Rameshwar Temple', 'Achara Beach', 'Shri Sateri Temple']",[],[],[]
gwalior,"['Sun Temple', 'Gwalior Fort', 'Gwalior Zoo', 'Saas Bahu Temple', 'Tansen Memorial', 'Teli ka Mandir', 'Gujari Mahal Museum']",[],[],[]
hyderabad,"['Charminar', 'Golconda Fort Near Hyderabad', 'Nehru Zoological Park', 'Chowmahalla Palace', 'Salar Jung Museum', 'Moula Ali Dargah', 'Hussain Sagar Lake', 'Qutb Shahi Tombs']",Oct-Mar,Apr-Jun,Jul-Sep
mathura,"['Prem Mandir', 'Krishna Janmasthan Temple Complex', 'Dwarkadhish Temple', 'Mathura Museum', 'Radha Vallabh Mandir', 'Jai Gurudev Mandir', 'Lathmar Holi', 'Banke Bihari Temple', 'Potara Kund', 'Kokilavan', 'Vaishno Devi Mandir', 'Jama Masjid Near Mathura', 'Kansa Qila']",[],[],[]
shillong,"['Elephant Falls', 'Laitlum Canyons', 'Don Bosco Museum Shillong', 'Double-Decker Bridge', 'Umiam Lake', 'David Scott Trail', 'All Saints Church', 'Shillong Peak', 'Ziro Valley, Arunachal Pradesh', 'Mawlynnong', 'Spread Eagle Falls', 'Sweet Falls', 'Air Force Museum', 'Malki Forest', 'Rhino Heritage Museum', 'Lady Hydari Park', 'Wards Lake', 'Police Bazaar']",Mar-Jun,Nov-Feb,Jul-Oct
kolkata,"['Dakshineshwar Kali Temple', 'Maidan', 'Belur Math', 'Howrah Bridge', 'Victoria Memorial', 'Indian Museum', 'Netaji Bhawan', 'Prinsep Ghat', 'Jorasanko Thakur Bari', 'Maulana Azad Museum Kolkata', 'Dalhousie Square']",Oct-Feb,Mar-Apr,May-Sep
